# Logic delay by BEL and arc, generated by LogicDelayTable
# Pins are BEL pins.
# Delays are the slow corner, worst over rise and fall, in picoseconds.
# 'prop' arcs are propagation delays; 'setup', 'hold', 'recovery' and
# 'removal' are the requirements that bound a path rather than delays along it.
# bel from_pin to_pin kind slow_max_ps slow_min_ps samples ref_name

logic_delay
BUFGCE.BUFCE I O1 prop 78 63 1 BUFGCE
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_55_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_56_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_57_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_5_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_6_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_7_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_8_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ ALU_OUT_9_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ COUT_3_ prop 488 118 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_0_ MULTSIGN_ALU prop 485 165 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALUMODE10 prop 204 94 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_0_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_10_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_11_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_12_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_13_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_14_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_15_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_16_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_17_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_18_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_19_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_1_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_20_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_21_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_22_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_23_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_24_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_25_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_26_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_27_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_28_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_29_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_2_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_30_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_31_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_32_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_33_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_34_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_35_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_36_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_37_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_38_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_39_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_3_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_40_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_41_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_42_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_43_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_44_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_45_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_46_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_47_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_48_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_49_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_4_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_50_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_51_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_52_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_53_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_54_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_55_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_56_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_57_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_5_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_6_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_7_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_8_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ ALU_OUT_9_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_1_ COUT_3_ prop 488 118 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_0_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_10_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_11_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_12_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_13_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_14_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_15_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_16_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_17_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_18_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_19_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_1_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_20_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_21_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_22_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_23_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_24_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_25_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_26_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_27_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_28_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_29_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_2_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_30_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_31_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_32_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_33_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_34_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_35_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_36_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_37_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_38_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_39_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_3_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_40_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_41_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_42_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_43_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_44_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_45_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_46_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_47_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_48_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_49_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_4_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_50_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_51_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_52_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_53_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_54_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_55_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_56_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_57_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_5_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_6_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_7_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_8_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ ALU_OUT_9_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ COUT_3_ prop 488 118 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_2_ MULTSIGN_ALU prop 485 165 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_0_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_10_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_11_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_12_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_13_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_14_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_15_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_16_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_17_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_18_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_19_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_1_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_20_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_21_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_22_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_23_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_24_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_25_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_26_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_27_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_28_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_29_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_2_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_30_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_31_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_32_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_33_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_34_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_35_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_36_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_37_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_38_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_39_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_3_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_40_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_41_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_42_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_43_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_44_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_45_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_46_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_47_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_48_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_49_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_4_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_50_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_51_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_52_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_53_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_54_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_55_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_56_ prop 486 123 553 DSP_ALUADD
DSP58.DSP_ALUADD ALUMODE_DATA_3_ ALU_OUT_57_ prop 486 123 553 DSP_ALUADD
